,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,underground,price_meter
397,Клин,4,10,1.0,43.0,5000000.0,,20.0,14.0,Клин,116279.06976744186
398,Клин,5,5,3.0,60.0,5400000.0,1965,42.0,6.0,Клин,90000.0
399,Клин,2,10,3.0,73.0,8400000.0,,42.0,11.0,Клин,115068.49315068492
400,Клин,2,9,2.0,48.0,5880000.0,,21.0,20.0,Клин,122500.0
401,Клин,5,9,1.0,32.0,4200000.0,Позвоните автору,18.0,6.0,Клин,131250.0
402,Клин,2,9,2.0,46.4,5300000.0,1976,30.0,7.0,Клин,114224.1379310345
403,Клин,4,5,2.0,42.1,3800000.0,,28.0,12.128758683969064,Клин,90261.28266033254
404,Клин,1,3,3.0,66.5,7800000.0,2012,45.0,9.0,Клин,117293.23308270676
405,Клин,1,1,2.0,58.6,8000000.0,1958,38.3,14.3,Клин,136518.77133105803
406,Клин,4,5,3.0,56.0,4900000.0,1967,36.35070730640222,6.0,Клин,87500.0
407,Клин,1,9,3.0,67.1,7500000.0,,54.1,8.0,Клин,111773.47242921015
408,Клин,1,4,2.0,42.7,4150000.0,1960,27.0,12.128758683969064,Клин,97189.69555035129
409,Клин,4,9,3.0,67.8,6100000.0,,48.0,7.0,Клин,89970.50147492626
410,Клин,3,4,1.0,34.0,3900000.0,,16.2,8.0,Клин,114705.88235294117
411,Клин,8,9,2.0,63.22,6600000.0,2018,36.1,11.3,Клин,104397.34261309712
412,Клин,3,5,3.0,75.0,8299999.0,1956,50.0,9.0,Клин,110666.65333333334
413,Клин,9,9,1.0,37.5,4899000.0,,17.2,9.0,Клин,130640.0
414,Клин,3,5,2.0,45.0,4150000.0,1969,28.0,6.0,Клин,92222.22222222222
415,Клин,1,9,3.0,60.0,5900000.0,1980,47.0,7.0,Клин,98333.33333333333
416,Клин,8,10,1.0,48.5,4850000.0,2018,36.35070730640222,10.0,Клин,100000.0
417,Клин,5,5,2.0,42.0,4000000.0,,29.0,6.0,Клин,95238.09523809524
418,Клин,6,9,1.0,28.17,3999000.0,,14.3,6.8,Клин,141959.53141640042
419,Клин,2,9,2.0,47.0,4950000.0,Позвоните автору,32.0,8.0,Клин,105319.14893617021
420,Клин,2,9,2.0,45.2,6350000.0,,27.0,8.1,Клин,140486.72566371682
421,Клин,4,5,2.0,45.5,4650000.0,1968,29.4,5.6,Клин,102197.8021978022
422,Клин,3,5,1.0,29.3,3850000.0,,17.0,6.0,Клин,131399.31740614335
423,Клин,3,9,3.0,60.0,6200000.0,,36.35070730640222,7.0,Клин,103333.33333333333
424,Клин,8,10,1.0,40.0,5100000.0,2008,18.0,10.0,Клин,127500.0
425,Клин,3,4,1.0,34.0,3900000.0,2012,16.0,8.0,Клин,114705.88235294117
426,Клин,5,9,1.0,32.0,4200000.0,1975,18.0,6.0,Клин,131250.0
427,Клин,7,9,1.0,41.8,5800000.0,,18.0,11.0,Клин,138755.98086124402
428,Клин,5,9,1.0,28.0,3650000.0,,14.4,7.0,Клин,130357.14285714286
429,Клин,2,5,2.0,44.2,6450000.0,1967,33.2,6.0,Клин,145927.60180995474
430,Клин,4,5,1.0,32.0,3695000.0,,19.0,6.0,Клин,115468.75
431,Клин,1,9,2.0,44.0,4450000.0,1980,20.0,12.128758683969064,Клин,101136.36363636363
432,Клин,9,9,1.0,36.93,4959000.0,,19.7,8.7,Водный стадион,134281.07229894394
433,Клин,5,5,2.0,48.0,5500000.0,1968,28.7,6.0,Клин,114583.33333333333
434,Клин,2,9,1.0,28.2,3990000.0,,14.7,6.7,Клин,141489.36170212767
435,Лобня,15,17,3.0,76.0,12300000.0,2010,44.0,10.0,Лобня,161842.1052631579
436,Лобня,2,20,1.0,44.6,6790000.0,2008,18.2,9.6,Лобня,152242.1524663677
437,Лобня,13,17,1.0,38.8,6400000.0,2016,20.0,8.0,Лобня,164948.45360824742
438,Лобня,1,5,1.0,30.0,4899000.0,1966,18.0,5.0,Лобня,163300.0
439,Лобня,12,13,2.0,62.5,7200000.0,2016,34.0,10.0,Лобня,115200.0
440,Лобня,2,5,1.0,30.5,4750000.0,,18.0,6.0,Лобня,155737.70491803277
441,Лобня,10,10,3.0,105.8,11700000.0,1996,62.2,14.0,Лобня,110586.01134215502
442,Лобня,16,16,1.0,34.8,3799660.0,1982,18.0,10.0,Лобня,109185.63218390805
443,Лобня,9,13,2.0,59.0,10650000.0,2012,38.0,13.0,Лобня,180508.4745762712
444,Лобня,9,16,4.0,90.0,16000000.0,,50.5,21.0,Лобня,177777.77777777778
445,Лобня,3,4,4.0,82.1,8900000.0,1931,59.6,8.0,Лобня,108404.38489646773
446,Лобня,10,17,2.0,47.0,7500000.0,2017,26.0,10.0,Лобня,159574.46808510637
447,Лобня,9,15,2.0,63.1,9700000.0,2012,30.8,10.0,Лобня,153724.2472266244
448,Лобня,17,17,1.0,37.9,6400000.0,2016,18.0,9.0,Лобня,168865.43535620053
449,Лобня,3,4,1.0,31.1,4900000.0,1961,20.0,6.0,Лобня,157556.270096463
450,Лобня,9,18,2.0,40.4,8000000.0,2014,27.0,11.0,Лобня,198019.80198019804
451,Лобня,1,5,2.0,41.0,5700000.0,,27.0,6.0,Лобня,139024.39024390245
452,Лобня,1,5,1.0,31.3,4900000.0,1966,18.0,5.6,Лобня,156549.52076677317
453,Лобня,5,18,2.0,46.7,7800000.0,2018,12.0,22.0,Лобня,167023.55460385437
454,Лобня,12,17,,61.0,2970000.0,2022,32.0,12.0,Лобня,48688.524590163935
